IV_Standardised,E_mag
Comm_Den,0.65030556
Pop_Den,-0.09584228
Connectivity,0.272192889
Comm_Den,0.517727273
Connectivity,0.77658
Amenity,0.7656
Mix_Land,-0.1012
Mix_Land,-0.022
Pop_Den,0.334895105
Connectivity,-0.323
Connectivity,0.327
Mix_Land,0.356928
Connectivity,0.810126582
Connectivity,0.50324922
Connectivity,0.384
Connectivity,1.08
Connectivity,0.219
Connectivity,0.157
Connectivity,0.094
Connectivity,0.085
Connectivity,0.083
Connectivity,0.045023429
Connectivity,0.044
Connectivity,0.019031242
Connectivity,0.003964448
Connectivity,0
Connectivity,0
Connectivity,-0.10752
Connectivity,-0.12768
Connectivity,-0.1344
Connectivity,-0.177
Connectivity,-0.323
Balance,-0.44275
Connectivity,0.3146
Connectivity,0.2662
Balance,0.452
Connectivity,1.08
Balance,0.615
Balance,0.222830132
Connectivity,-0.082
Centrality,0.386
Mix_Land,0.087
Pop_Den,0.79
Amenity,0.539
Mix_Land,0.3
Pop_Den,-0.42245092
Mix_Land,0.3864
Local_Access,0.5635
Pop_Den,0.0775
Amenity,-0.3675
Connectivity,0.484
Amenity,0.6426
Amenity,0.595
Local_Access,0.5635
Emp_Den,-0.4
Amenity,0.221190593
Amenity,0.140238561
Amenity,-0.140126582
Amenity,-0.3675
Pop_Den,0.6
Emp_Den,0.825
Connectivity,0.24
Emp_Den,0.436346004
Centrality,0
Centrality,-0.002
Pop_Den,0.21
Emp_Den,-0.3
Pop_Den,0.326
Mix_Land,0.134596
Connectivity,0.23
Pop_den,0.0133
Balance,0.76
Balance,0.3271
Balance,-0.42
Mix_Land,0.121
Connectivity,0.275
Act_Den,0.268
Mix_Land,0.351487
Pop_den,-0.1344
Centrality,0.066
Connectivity,0.799619453
Emp_Den,0.211021548
Mix_Land,-0.028
Pop_Den,0.502505288
Emp_Den,0.004
Emp_Den,0.3
Mix_Land,0.04142
Mix_Land,0.043
Mix_Land,-0.037
Mix_Land,0.003087869
Mix_Land,-0.000096
Mix_Land,-0.000096
Mix_Land,-0.000410019
Mix_Land,-0.000672
Mix_Land,0
Mix_Land,-0.065742857
Emp_Den,0.361267717
Centrality,0.042
Pop_Den,0.232638507
Balance,-0.026622
Pop_Den,-0.242302594
Pop_Den,0.311571761
Pop_Den,0.003312
Pop_Den,0.419373344
Mix_House,0.022236
Emp_Den,0.414522259
Connectivity,0.3559
Pop_Den,0.199
Mix_House,0.066811686
Mix_House,0.00576
Mix_House,0
Mix_House,-0.000576
Mix_House,-0.001152
Mix_House,-0.00576
Mix_House,-0.01296
Pop_Den,0.318730066
Act_Den,0.265546
Pop_Den,0.395172615
Mix_Land,0.1242
Pop_Den,0.494435366
Connectivity,0.60046272
Pop_Den,0.0815364
Pop_Den,0.04259574
Pop_den,0.0229
Balance,0.232
Pop_Den,0.135681
Balance,0.03132
Mix_Land,0.206
Pop_Den,0.129504
Pop_Den,0.26862113
Pop_Den,0.192
Pop_Den,0.145
Pop_Den,0.803
Pop_Den,0.742
Pop_Den,0.677
Pop_Den,0.574
Pop_Den,0.566
Pop_Den,0.525
Pop_Den,0.5
Pop_Den,0.475
Pop_Den,0.471
Pop_Den,0.47
Pop_Den,0.441
Pop_Den,0.42365
Pop_Den,0.3346
Pop_Den,0.295
Pop_Den,0.269
Pop_Den,0.021
Pop_Den,0.190527523
Pop_Den,0.153
Pop_Den,0.121096989
Pop_Den,0.121
Pop_Den,0.115
Pop_Den,0.10873
Pop_Den,0.10639823
Pop_Den,0.089
Pop_den,-0.204
Pop_Den,0.07464623
Pop_Den,0.072
Pop_Den,0.070302557
Pop_Den,0.014178216
Pop_Den,0.013314448
Pop_Den,-0.04988176
Pop_Den,-0.43
Connectivity,0.14
Emp_Den,0.348342805
Connectivity,0.062007
Emp_Den,0.28444428
Amenity,-0.233206452
Connectivity,-0.101970672
Pop_Den,0.126
Emp_Den,0.381338146
Mix_Land,0.08
Mix_House,-0.032625
Pop_Den,0.248412
Centrality,-0.029
Pop_Den,0.589230702
Emp_Den,0.21664234
Pop_den,0.154020247
Emp_Den,0.21333321
Emp_Den,0.334898671
Pop_Den,-0.08
Centrality,0.152885076
Pop_Den,0.315055316
Connectivity,0.18109275
Emp_Den,0.140493001
Mix_Land,0.169
Connectivity,0.26
Emp_Den,0.4083606
Emp_Den,0.280258306
Pop_Den,0.153960495
Emp_Den,0.318477409
Comm_Den,0.14507678
Balance,0.1291746
Emp_Den,0.195609336
Emp_Den,0.110591366
Comm_Den,0.52
Comm_Den,0.43
Comm_Den,0.34
Comm_Den,0.077
Comm_Den,0.045
Comm_Den,0.028
Comm_Den,0.013576
Comm_Den,0.000713017
Comm_Den,0.000161935
Comm_Den,-0.24881
Comm_Den,-0.332612
Pop_Den,0.294817
Mix_Land,0.11498205
emp_den,-0.16
Act_Den,0.175
Pop_Den,0.3261
Connectivity,-0.108100314
Pop_Den,0.276562
Balance,0.11781
Comm_Den,0.315328517
Comm_Den,0.371759217
Connectivity,0.42568
Pop_Den,0.118
Emp_Den,0.198
Act_Den,0.73114
Act_Den,0.607
Act_Den,0.597
Act_Den,0.467
Act_Den,0.428
Act_Den,0.233
Act_Den,0.17
Act_Den,0.165
Act_Den,0.06172861
Act_Den,0.047
Act_Den,0.028294
Act_Den,0.001
Act_Den,0
Act_Den,0
Act_Den,-0.01656
Act_Den,-0.366
Emp_Den,0.031673175
Emp_Den,0.507
Emp_Den,0.45
Emp_Den,0.374
Emp_Den,0.374
Emp_Den,0.256
Emp_Den,0.245
Emp_Den,0.1811
Emp_Den,0.134
Emp_Den,0.1302
Emp_Den,0.128596611
Emp_Den,0.056
Emp_Den,0.043
Emp_Den,0.03409
Emp_Den,0.026312246
Emp_Den,0
Emp_Den,-0.014447592
Emp_Den,-0.041741866
Emp_Den,-0.077
Emp_Den,-0.137
Emp_Den,-0.178
Emp_Den,-0.195
Emp_Den,-0.30877
Emp_Den,-0.38
Emp_Den,0.09
Balance,0.179
Balance,0.038496
Pop_Den,0.108273333
Act_Den,0.0365742
Connectivity,0.22
Local_Access,0.276
Local_Access,-0.17899984
Local_Access,0.213223806
Balance,0.092727273
Emp_Den,0.3559465
Comm_Den,0.225380859
Emp_Den,0.2588
Pop_Den,0.271891
Emp_Den,0.267804465
Connectivity,0.09
Emp_Den,0.3715925
Local_Access,0.170636986
Amenity,0.13
Balance,0.257876
Act_Den,0.113
Act_Den,0.131
Local_Access,0.104
Local_Access,0.06028315
Local_Access,-0.016430595
Local_Access,-0.2934
Mix_Land,0.30781475
Pop_Den,0.0922
Emp_Den,0.3756
Emp_Den,0.2809
Pop_Den,0.1802
Emp_Den,0.199325893
Emp_Den,-0.06
Mix_Land,0.09
Comm_Den,0.612439835
Mix_Land,0.049818998
Mix_Land,0.721342523
Emp_Den,0.070986556
Local_Access,0.106380138
Balance,0.004137
Emp_den,0.114337537
Pop_Den,0.207010963
Emp_Den,0.11
Comm_Den,0.449601482
Pop_Den,0.13
Local_Access,0.092947425
Balance,0.010504
Mix_Land,-0.09869435
Safety,0.212891328
Comm_Den,0.1275
Pop_Den,0.265
Connectivity,0.103696916
Act_Den,0.08
Emp_Den,0.060885
Mix_Land,0.08836
Emp_Den,0.196650358
Connectivity,-0.08
Emp_Den,0.296485385
Mix_Land,0.122375
Emp_Den,0.037929
Balance,-0.008288
Emp_Den,-0.0785
Pop_Den,0.0407
Pop_Den,0.03
Mix_Land,0.14079
Balance,0.036418943
Local_Access,0.132357133
Emp_Den,0.05
Local_access,0.028988745
Act_Den,0.511
Local_Access,0.255
Local_Access,0.202
Local_Access,0.21
Mix_Land,0.039258545
Pop_Den,0.4093
Local_Access,0.091228501
Emp_Den,0.01
Comm_Den,0.03324
Comm_Den,0.03
Centrality,0.0177
Pop_Den,0.005
Centrality,0.086267743
Centrality,-0.004
Connectivity,0.028478385
Safety,0.05193396
Pop_Den,0.014
Connectivity,0.016603704
Safety,-0.05610384
Pop_Den,-0.01
Mix_Land,0.002348786
Emp_Den,0.006
Emp_Den,0.015041315
Mix_Land,-0.01
Pop_Den,0.315582067
Safety,0.068793543
Comm_Den,0.223
Comm_Den,0.222
Pop_Den,0.006231732
Emp_Den,0.011
Comm_Den,-0.01
Centrality,0.019823958
Pop_Den,0.001804927
Amenity,-0.00576
Comm_Den,-0.01
Amenity,0.003321067
Centrality,0.5482
Centrality,0.5536
Mix_Land,0.02254
Local_Access,-0.00202
Pop_den,-0.000167839
Emp_Den,0.000368907
Local_Access,5.75667E-06
Centrality,2.97086E-08
Emp_Den,-0.001458576
Emp_Den,-0.31625807
Comm_Den,-0.058174
